,level,left,top,organ
"16,8,20",16,8,20,01_penis
"16,8,21",16,8,21,01_penis
"16,8,22",16,8,22,01_penis
"16,8,23",16,8,23,01_penis
"16,8,24",16,8,24,01_penis
"16,8,25",16,8,25,01_penis
"16,8,26",16,8,26,01_penis
"16,8,110",16,8,110,24_pituitary_gland
"16,8,165",16,8,165,39_HCC
"16,8,166",16,8,166,39_HCC
"16,8,167",16,8,167,39_HCC
"16,8,168",16,8,168,39_HCC
"16,8,169",16,8,169,39_HCC
"16,8,170",16,8,170,39_HCC
"16,9,18",16,9,18,01_penis
"16,9,19",16,9,19,01_penis
"16,9,20",16,9,20,01_penis
"16,9,21",16,9,21,01_penis
"16,9,22",16,9,22,01_penis
"16,9,23",16,9,23,01_penis
"16,9,24",16,9,24,01_penis
"16,9,25",16,9,25,01_penis
"16,9,26",16,9,26,01_penis
"16,9,27",16,9,27,01_penis
"16,9,28",16,9,28,01_penis
"16,9,80",16,9,80,16_urinary_bladder
"16,9,81",16,9,81,16_urinary_bladder
"16,9,82",16,9,82,16_urinary_bladder
"16,9,83",16,9,83,16_urinary_bladder
"16,9,84",16,9,84,16_urinary_bladder
"16,9,85",16,9,85,16_urinary_bladder
"16,9,106",16,9,106,24_pituitary_gland
"16,9,107",16,9,107,24_pituitary_gland
"16,9,108",16,9,108,24_pituitary_gland
"16,9,109",16,9,109,24_pituitary_gland
"16,9,110",16,9,110,24_pituitary_gland
"16,9,111",16,9,111,24_pituitary_gland
"16,9,112",16,9,112,24_pituitary_gland
"16,9,113",16,9,113,24_pituitary_gland
"16,9,114",16,9,114,24_pituitary_gland
"16,9,115",16,9,115,24_pituitary_gland
"16,9,141",16,9,141,32_ESCC
"16,9,142",16,9,142,32_ESCC
"16,9,143",16,9,143,32_ESCC
"16,9,144",16,9,144,32_ESCC
"16,9,163",16,9,163,39_HCC
"16,9,164",16,9,164,39_HCC
"16,9,165",16,9,165,39_HCC
"16,9,166",16,9,166,39_HCC
"16,9,167",16,9,167,39_HCC
"16,9,168",16,9,168,39_HCC
"16,9,169",16,9,169,39_HCC
"16,9,170",16,9,170,39_HCC
"16,9,171",16,9,171,39_HCC
"16,9,172",16,9,172,39_HCC
"16,10,17",16,10,17,01_penis
"16,10,18",16,10,18,01_penis
"16,10,19",16,10,19,01_penis
"16,10,20",16,10,20,01_penis
"16,10,21",16,10,21,01_penis
"16,10,22",16,10,22,01_penis
"16,10,23",16,10,23,01_penis
"16,10,24",16,10,24,01_penis
"16,10,25",16,10,25,01_penis
"16,10,26",16,10,26,01_penis
"16,10,27",16,10,27,01_penis
"16,10,28",16,10,28,01_penis
"16,10,29",16,10,29,01_penis
"16,10,30",16,10,30,01_penis
"16,10,49",16,10,49,09_follicle
"16,10,50",16,10,50,09_follicle
"16,10,51",16,10,51,09_follicle
"16,10,52",16,10,52,09_follicle
"16,10,53",16,10,53,09_follicle
"16,10,54",16,10,54,09_follicle
"16,10,55",16,10,55,09_follicle
"16,10,56",16,10,56,09_follicle
"16,10,57",16,10,57,09_follicle
"16,10,78",16,10,78,16_urinary_bladder
"16,10,79",16,10,79,16_urinary_bladder
"16,10,80",16,10,80,16_urinary_bladder
"16,10,81",16,10,81,16_urinary_bladder
"16,10,82",16,10,82,16_urinary_bladder
"16,10,83",16,10,83,16_urinary_bladder
"16,10,84",16,10,84,16_urinary_bladder
"16,10,85",16,10,85,16_urinary_bladder
"16,10,86",16,10,86,16_urinary_bladder
"16,10,87",16,10,87,16_urinary_bladder
"16,10,104",16,10,104,24_pituitary_gland
"16,10,105",16,10,105,24_pituitary_gland
"16,10,106",16,10,106,24_pituitary_gland
"16,10,107",16,10,107,24_pituitary_gland
"16,10,108",16,10,108,24_pituitary_gland
"16,10,109",16,10,109,24_pituitary_gland
"16,10,110",16,10,110,24_pituitary_gland
"16,10,111",16,10,111,24_pituitary_gland
"16,10,112",16,10,112,24_pituitary_gland
"16,10,113",16,10,113,24_pituitary_gland
"16,10,114",16,10,114,24_pituitary_gland
"16,10,115",16,10,115,24_pituitary_gland
"16,10,116",16,10,116,24_pituitary_gland
"16,10,138",16,10,138,32_ESCC
"16,10,139",16,10,139,32_ESCC
"16,10,140",16,10,140,32_ESCC
"16,10,141",16,10,141,32_ESCC
"16,10,142",16,10,142,32_ESCC
"16,10,143",16,10,143,32_ESCC
"16,10,144",16,10,144,32_ESCC
"16,10,145",16,10,145,32_ESCC
"16,10,146",16,10,146,32_ESCC
"16,10,147",16,10,147,32_ESCC
"16,10,161",16,10,161,39_HCC
"16,10,162",16,10,162,39_HCC
"16,10,163",16,10,163,39_HCC
"16,10,164",16,10,164,39_HCC
"16,10,165",16,10,165,39_HCC
"16,10,166",16,10,166,39_HCC
"16,10,167",16,10,167,39_HCC
"16,10,168",16,10,168,39_HCC
"16,10,169",16,10,169,39_HCC
"16,10,170",16,10,170,39_HCC
"16,10,171",16,10,171,39_HCC
"16,10,172",16,10,172,39_HCC
"16,10,173",16,10,173,39_HCC
"16,10,174",16,10,174,39_HCC
"16,11,16",16,11,16,01_penis
"16,11,17",16,11,17,01_penis
"16,11,20",16,11,20,01_penis
"16,11,21",16,11,21,01_penis
"16,11,22",16,11,22,01_penis
"16,11,23",16,11,23,01_penis
"16,11,24",16,11,24,01_penis
"16,11,25",16,11,25,01_penis
"16,11,26",16,11,26,01_penis
